time,mag,mag_err,flux,flux_err
0.0,11.874,0.02,69.84,1.285
0.024639999959617853,11.865,0.02,68.859,1.267
0.9947500000707805,11.869,0.02,70.123,1.29
1.0211499999277294,11.857,0.02,69.386,1.277
2.992770000360906,11.86,0.02,70.739,1.302
3.017040000297129,11.861,0.02,69.123,1.272
4.023980000056326,11.868,0.02,68.672,1.264
12.989620000123978,11.998,0.02,60.891,1.12
28.96896000020206,11.977,0.02,62.124,1.143
30.966729999985546,11.936,0.02,64.514,1.187
31.961540000047535,11.928,0.02,64.973,1.196
32.950300000142306,11.916,0.02,65.684,1.209
33.950660000089556,11.899,0.02,66.71,1.227
34.951020000036806,11.88,0.02,67.891,1.249
35.951379999984056,11.885,0.02,67.57,1.243
36.95133000006899,11.872,0.02,69.958,1.287
36.95467000035569,11.844,0.02,70.168,1.291
37.955169999971986,11.829,0.02,71.181,1.31
38.9554500002414,11.805,0.02,72.746,1.339
39.95275000017136,11.82,0.02,71.739,1.32
40.95308000035584,11.791,0.02,73.678,1.356
142.36724000005051,11.794,0.02,75.137,1.383
147.36736000003293,11.793,0.02,75.186,1.383
155.3575599999167,11.817,0.02,73.557,1.353
156.3663400001824,11.787,0.02,73.97,1.361
160.34052000008523,11.864,0.02,70.463,1.297
167.33817999996245,11.895,0.02,67.003,1.233
168.3353500002995,11.898,0.02,66.813,1.229
169.311699999962,12.003,0.02,61.995,1.141
171.34098999993876,11.922,0.02,65.353,1.202
172.3418000000529,11.975,0.02,63.611,1.17
174.3354400000535,11.915,0.02,65.747,1.21
176.33322999998927,11.975,0.02,63.586,1.17
180.31400000024587,11.837,0.02,70.646,1.3
181.31159000005573,11.825,0.02,73.022,1.344
185.2742300000973,11.817,0.02,73.592,1.354
185.31204000022262,11.807,0.02,72.65,1.337
189.2718299999833,11.815,0.02,73.685,1.356
189.31932000024244,11.804,0.02,72.832,1.34
194.25682000024244,11.906,0.02,67.79,1.247
196.272220000159,11.871,0.02,68.478,1.26
198.30818000016734,11.948,0.02,65.216,1.2
203.34763000020757,12.013,0.02,61.444,1.131
204.30775000015274,11.973,0.02,62.313,1.147
207.21222000010312,12.069,0.02,58.319,1.073
213.26263000024483,12.148,0.02,54.264,0.998
214.2559299999848,12.161,0.02,52.445,0.965
219.17458000034094,12.196,0.02,51.897,0.955
221.20504999998957,12.107,0.02,55.093,1.014
223.20322000002488,12.074,0.02,56.798,1.045
227.26644999999553,12.053,0.02,59.186,1.089
229.27957000024617,11.932,0.02,64.723,1.191
231.2316300002858,11.937,0.02,65.871,1.212
233.24517000000924,11.894,0.02,67.041,1.234
235.2243099999614,11.913,0.02,65.894,1.212
235.31952000036836,11.966,0.02,64.144,1.18
238.26379000023007,11.969,0.02,63.941,1.177
239.271420000121,11.925,0.02,65.18,1.199
243.1403500000015,11.999,0.02,62.19,1.144
247.2758500003256,12.02,0.02,59.697,1.098
254.2113800002262,12.056,0.02,59.037,1.086
254.30985999992117,12.05,0.02,58.074,1.069
262.2338100001216,12.025,0.02,60.733,1.117
263.34221999999136,12.033,0.02,58.974,1.085
265.17809000005946,12.034,0.02,58.905,1.084
266.2194900000468,12.029,0.02,60.511,1.113
267.12214000010863,12.039,0.02,58.638,1.079
269.21763000031933,12.01,0.02,61.562,1.133
280.15644000004977,12.097,0.02,56.843,1.046
282.1028200001456,12.073,0.02,56.824,1.046
289.12324000010267,12.022,0.02,60.897,1.12
289.2047100001946,12.034,0.02,58.916,1.084
290.023909999989,11.99,0.02,62.743,1.154
290.11733000027016,12.007,0.02,60.416,1.112
295.2090199999511,11.947,0.02,63.859,1.175
296.20074000023305,11.938,0.02,65.792,1.211
297.1549200001173,11.955,0.02,63.365,1.166
301.09771999996156,11.874,0.02,69.833,1.285
306.04958000034094,11.805,0.02,72.795,1.339
306.06609999993816,11.817,0.02,73.549,1.353
309.12575000012293,11.822,0.02,73.246,1.348
309.13157000020146,11.847,0.02,69.992,1.288
310.944290000014,11.852,0.02,71.269,1.311
310.948290000204,11.842,0.02,70.349,1.294
312.1046899999492,11.886,0.02,69.06,1.271
315.01585000008345,11.861,0.02,69.087,1.271
316.0949500002898,11.891,0.02,68.699,1.264
318.990720000118,11.83,0.02,72.69,1.338
321.1874600001611,11.823,0.02,71.541,1.316
322.12874000007287,11.817,0.02,71.983,1.324
324.1116400002502,11.776,0.02,76.391,1.406
326.10049000009894,11.754,0.02,76.278,1.404
334.07285000011325,11.674,0.02,83.927,1.544
335.97918000025675,11.678,0.02,81.783,1.505
347.9450300000608,11.843,0.02,70.287,1.293
349.00940000033006,11.855,0.02,71.056,1.307
350.0138500002213,11.869,0.02,68.577,1.262
353.0441300002858,11.939,0.02,65.725,1.209
354.0910000000149,11.954,0.02,63.46,1.168
355.04071999993175,11.933,0.02,66.118,1.217
357.0449600000866,11.985,0.02,61.619,1.134
360.98940000031143,11.982,0.02,63.178,1.162
361.04787000035867,11.981,0.02,61.882,1.139
362.06520000007004,11.986,0.02,61.593,1.133
371.9990500002168,11.946,0.02,65.3,1.202
375.95435000024736,11.866,0.02,70.334,1.294
